"distal","class","label","mean","raw_mean","clipped","se"
"online_withdrawal",1,"Network_oriented_prevention",0.0669005142660404,0.0669005142660404,FALSE,0.0289611004085828
"online_withdrawal",2,"Escalation_aware_mixed",0.272433689376378,0.272433689376378,FALSE,0.0358810699067372
"online_withdrawal",3,"Life_threat_protective",0.405338730331973,0.405338730331973,FALSE,0.0490247493959628
"online_withdrawal",4,"Boundary_clarification",0.164609676141468,0.164609676141468,FALSE,0.0350036550785693
"online_withdrawal",5,"Multi_action_institutional",0.448489295665793,0.448489295665793,FALSE,0.0641563132732347
"digital_coharm",1,"Network_oriented_prevention",0.115938293907005,0.115938293907005,FALSE,0.0371100123054702
"digital_coharm",2,"Escalation_aware_mixed",0.0733212569400852,0.0733212569400852,FALSE,0.0210076870482968
"digital_coharm",3,"Life_threat_protective",0.291388663862895,0.291388663862895,FALSE,0.0453745026671976
"digital_coharm",4,"Boundary_clarification",0.102979649006429,0.102979649006429,FALSE,0.0286891609438014
"digital_coharm",5,"Multi_action_institutional",0.304552690460087,0.304552690460087,FALSE,0.0593676312716531
"q42_police",1,"Network_oriented_prevention",0.348957824631451,0.348957824631451,FALSE,0.0552493774123741
"q42_police",2,"Escalation_aware_mixed",0.292238371006882,0.292238371006882,FALSE,0.0366531086330071
"q42_police",3,"Life_threat_protective",0.50949095839709,0.50949095839709,FALSE,0.0499186984466582
"q42_police",4,"Boundary_clarification",0.113048993412086,0.113048993412086,FALSE,0.0298898792452911
"q42_police",5,"Multi_action_institutional",0.553325222356432,0.553325222356432,FALSE,0.0641316382071276
"role_police_top2",1,"Network_oriented_prevention",0.459257766303686,0.459257766303686,FALSE,0.0577643320938158
"role_police_top2",2,"Escalation_aware_mixed",0.370768127755469,0.370768127755469,FALSE,0.0389273859727315
"role_police_top2",3,"Life_threat_protective",0.473097787210022,0.473097787210022,FALSE,0.0498553734358267
"role_police_top2",4,"Boundary_clarification",0.554487576002628,0.554487576002628,FALSE,0.0469155503072439
"role_police_top2",5,"Multi_action_institutional",0.267220775556809,0.267220775556809,FALSE,0.0570831682264376
"support_awareness",1,"Network_oriented_prevention",2.47274657181194,2.47274657181194,FALSE,0.241727981898027
"support_awareness",2,"Escalation_aware_mixed",2.48667209136881,2.48667209136881,FALSE,0.187112126760522
"support_awareness",3,"Life_threat_protective",2.79727594758693,2.79727594758693,FALSE,0.23407549973161
"support_awareness",4,"Boundary_clarification",2.82021915774362,2.82021915774362,FALSE,0.226727593997522
"support_awareness",5,"Multi_action_institutional",4.01141876686003,4.01141876686003,FALSE,0.266965616555971
"seoul_policy_awareness",1,"Network_oriented_prevention",1.27818735175408,1.27818735175408,FALSE,0.173746724538975
"seoul_policy_awareness",2,"Escalation_aware_mixed",1.59834107297867,1.59834107297867,FALSE,0.143923316563027
"seoul_policy_awareness",3,"Life_threat_protective",2.12988360613755,2.12988360613755,FALSE,0.196715042310797
"seoul_policy_awareness",4,"Boundary_clarification",1.65555561516926,1.65555561516926,FALSE,0.170912848861359
"seoul_policy_awareness",5,"Multi_action_institutional",2.88513725888817,2.88513725888817,FALSE,0.258295946958263
"freq_ord",1,"Network_oriented_prevention",1.65818565378045,1.65818565378045,FALSE,0.090612552410316
"freq_ord",2,"Escalation_aware_mixed",2.02089152649086,2.02089152649086,FALSE,0.0768603760117002
"freq_ord",3,"Life_threat_protective",2.07488705512264,2.07488705512264,FALSE,0.0912033308493288
"freq_ord",4,"Boundary_clarification",1.76672931221957,1.76672931221957,FALSE,0.0795727859088568
"freq_ord",5,"Multi_action_institutional",1.98158495280804,1.98158495280804,FALSE,0.130626844466959
"severe_coharm",1,"Network_oriented_prevention",0.350630793134888,0.350630793134888,FALSE,0.0553104546645494
"severe_coharm",2,"Escalation_aware_mixed",0.552310524649366,0.552310524649366,FALSE,0.0400754852662967
"severe_coharm",3,"Life_threat_protective",0.758775548941283,0.758775548941283,FALSE,0.0427207463313719
"severe_coharm",4,"Boundary_clarification",0.405462196838892,0.405462196838892,FALSE,0.0463453233693316
"severe_coharm",5,"Multi_action_institutional",0.836485978811061,0.836485978811061,FALSE,0.0477082204819663
"intimate",1,"Network_oriented_prevention",0.459332604252501,0.459332604252501,FALSE,0.0577650406559677
"intimate",2,"Escalation_aware_mixed",0.63735418616899,0.63735418616899,FALSE,0.0387463184490707
"intimate",3,"Life_threat_protective",0.732055410300074,0.732055410300074,FALSE,0.0442248101766292
"intimate",4,"Boundary_clarification",0.779617083707133,0.779617083707133,FALSE,0.0391264667677556
"intimate",5,"Multi_action_institutional",0.595267228645929,0.595267228645929,FALSE,0.0633179080254963
"fear",1,"Network_oriented_prevention",3.40769588925269,3.40769588925269,FALSE,0.087057917751506
"fear",2,"Escalation_aware_mixed",3.32928830708948,3.32928830708948,FALSE,0.0582443928265789
"fear",3,"Life_threat_protective",3.51265692372287,3.51265692372287,FALSE,0.0706773743201481
"fear",4,"Boundary_clarification",3.53453337726658,3.53453337726658,FALSE,0.0662195227645124
"fear",5,"Multi_action_institutional",3.82936289608648,3.82936289608648,FALSE,0.0912041494863758
"crime_denial",1,"Network_oriented_prevention",1.57571084986786,1.57571084986786,FALSE,0.0654591273580851
"crime_denial",2,"Escalation_aware_mixed",2.32218499747241,2.32218499747241,FALSE,0.0826571738495474
"crime_denial",3,"Life_threat_protective",2.66829224778261,2.66829224778261,FALSE,0.118719528256964
"crime_denial",4,"Boundary_clarification",1.92117375650683,1.92117375650683,FALSE,0.0978058931711382
"crime_denial",5,"Multi_action_institutional",1.76923181357468,1.76923181357468,FALSE,0.137778333101734
