"distal","Wald","df","p_overall","p_fdr","sig"
"online_withdrawal",58.7026721805952,4,5.43320943791059e-12,1.49413259542541e-11,"***"
"digital_coharm",29.2243195778054,4,7.03854064076914e-06,1.29039911747434e-05,"***"
"q42_police",72.1627263498191,4,7.88258347483861e-15,2.89028060744082e-14,"***"
"role_police_top2",18.4723824897971,4,0.000997496774072903,0.00109724645148019,"**"
"support_awareness",25.1560431203012,4,4.6802724711803e-05,6.43537464787292e-05,"***"
"seoul_policy_awareness",31.8299228186261,4,2.07248354733292e-06,4.55946380413241e-06,"***"
"freq_ord",16.4393347983524,4,0.00248289903422394,0.00248289903422394,"**"
"severe_coharm",77.697444483507,4,5.55111512312578e-16,3.05311331771918e-15,"***"
"intimate",25.2212639695687,4,4.54098855207086e-05,6.43537464787292e-05,"***"
"fear",22.8998350349068,4,0.000132596016827913,0.000162061798345227,"***"
"crime_denial",91.3333104658545,4,0,0,"***"
