"distal","method","statistic","p_value","p_fdr_BH"
"role_victim_support_top2","chi-square",42.8992867395317,1.08579463640616e-08,3.04022498193725e-07
"policy_police_protection_top3","chi-square",33.4631706859073,9.60090956115841e-07,1.34412733856218e-05
"policy_punishment_top3","chi-square",31.4243045600967,2.50802204886843e-06,2.34082057894387e-05
"role_confront_top2","chi-square",28.8442578229547,8.40801205053843e-06,5.8856084353769e-05
"policy_online_delete_top3","chi-square",27.8966598576838,1.30891050980767e-05,7.32989885492296e-05
"edu_legal_top2","chi-square",21.6907185313835,0.000230923724725349,0.00107764404871829
"edu_bystander_role_top2","chi-square",18.3050218253998,0.00107569334066554,0.00430277336266215
"policy_secondary_harm_top3","chi-square",15.7156989874215,0.00342537104319741,0.0119887986511909
"seoul_service_use_count","ANOVA",3.5699105549252,0.00696359171767846,0.0216645075661108
"role_schoolwork_top2","chi-square",13.5372100379681,0.00892843273622125,0.0249996116614195
"role_network_top2","chi-square",12.5439640318072,0.0137330061982804,0.0349567430501684
"role_police_top2","chi-square",11.9949134677482,0.0173891301052121,0.0405746369121615
"support_service_use_count","ANOVA",2.74673715718443,0.0278416825432064,0.05709611830626
"edu_humanrights_top2","chi-square",10.7546793271551,0.0294639253391273,0.05709611830626
"seoul_service_use_any","chi-square",10.5149909075739,0.0325911194905178,0.05709611830626
"policy_perp_treatment_top3","chi-square",10.5124188184302,0.0326263533178629,0.05709611830626
"policy_victim_support_top3","chi-square",8.85401990418042,0.0648536800189364,0.106817825913542
"policy_school_education_top3","chi-square",7.94761894494725,0.0935159347087409,0.13793935492313
"support_digital_center_yes","chi-square",7.94532397221893,0.0936017051264095,0.13793935492313
"role_agency_info_top2","chi-square",7.61288223570882,0.106833449926959,0.149566829897743
"support_service_use_any","chi-square",7.2653513130565,0.122512641332688,0.163350188443583
"seoul_digital_center_yes","chi-square",6.2110501892677,0.183931578953199,0.234094736849525
"policy_public_campaign_top3","chi-square",5.62325167507835,0.229106112266116,0.277279812875492
"edu_schoolwork_top2","chi-square",5.52353563864456,0.237668411036136,0.277279812875492
"role_punishment_top2","chi-square",5.33658656115096,0.25447141365884,0.285007983297901
"edu_help_info_top2","chi-square",2.86966620229097,0.579867941413731,0.624473167676326
"policy_safe_environment_top3","chi-square",2.39005632801137,0.664424991652931,0.689033324677114
"policy_workplace_protocol_top3","chi-square",1.92093628718292,0.75029797594299,0.75029797594299
