"item","barrier","n_valid","n_yes","prop_yes"
"Q43_12","Did not think it was serious enough",248,103,0.415322580645161
"Q43_3","Thought no response was better",248,51,0.205645161290323
"Q43_10","Not appropriate to intervene in others' affairs",248,44,0.17741935483871
"Q43_6","Did not know how/where to respond",248,41,0.165322580645161
"Q43_11","Victim did not want intervention",248,38,0.153225806451613
"Q43_5","No evidence/witness",248,23,0.092741935483871
"Q43_1","Retaliation/further harm",248,20,0.0806451612903226
"Q43_2","Identity exposure/privacy",248,18,0.0725806451612903
"Q43_7","Time/psychological/economic burden",248,17,0.0685483870967742
"Q43_13","Other",248,7,0.0282258064516129
"Q43_8","Victim partly at fault",248,5,0.0201612903225806
"Q43_4","Threat to leak private/sexual material",248,2,0.00806451612903226
"Q43_9","Avoid worsening relationship with perpetrator",248,2,0.00806451612903226
