"K","class","modal_prop","AvePP","OCC"
2,1,0.179640718562874,0.842555555555556,24.4382733474477
2,2,0.820359281437126,0.990875912408759,23.7810218978103
3,1,0.157684630738523,0.889443037974683,42.9751502204392
3,2,0.169660678642715,0.887976470588235,38.7941831300888
3,3,0.672654690618762,0.982697329376855,27.6388890443842
4,1,0.518962075848303,0.928688461538462,12.0712970838018
4,2,0.147704590818363,0.94177027027027,93.3246473440254
4,3,0.139720558882236,0.807671428571429,25.8565242304305
4,4,0.193612774451098,0.897670103092784,36.5362403434903
5,1,0.145708582834331,0.939041095890411,90.3167615822687
5,2,0.291417165668663,0.940020547945206,38.1074905242147
5,3,0.191616766467066,0.937010416666667,62.7566096824871
5,4,0.219560878243513,0.946527272727273,62.9194429847609
5,5,0.151696606786427,0.842421052631579,29.8955366874099
6,1,0.121756487025948,0.867672131147541,47.2963005085379
6,2,0.143712574850299,0.941194444444444,95.3642930247205
6,3,0.243512974051896,0.938147540983607,47.1187275421133
6,4,0.111776447105788,0.913821428571429,84.262440056835
6,5,0.181636726546906,0.880494505494505,33.1956549197928
6,6,0.197604790419162,0.937464646464646,60.8723611498607
