"group","domain_a","domain_b","N_valid","overlap_n","overlap_prop"
"Non-reporting","privacy_retaliation","evidence_legal",333,36,0.108
"Non-reporting","evidence_legal","burden_distrust",333,36,0.108
"Non-reporting","privacy_retaliation","burden_distrust",333,33,0.099
"Non-reporting","minimization","burden_distrust",333,19,0.057
"Non-reporting","minimization","evidence_legal",333,17,0.051
"Non-reporting","minimization","relationship_victim_wish",333,15,0.045
"Non-reporting","privacy_retaliation","relationship_victim_wish",333,13,0.039
"Non-reporting","privacy_retaliation","minimization",333,11,0.033
"Non-reporting","evidence_legal","relationship_victim_wish",333,7,0.021
"Non-reporting","burden_distrust","relationship_victim_wish",333,7,0.021
"Non-response","minimization","social_norm_blame",248,22,0.089
"Non-response","minimization","relationship_victim_wish",248,18,0.073
"Non-response","minimization","evidence_legal",248,16,0.065
"Non-response","privacy_retaliation","minimization",248,15,0.06
"Non-response","relationship_victim_wish","social_norm_blame",248,10,0.04
"Non-response","minimization","burden_distrust",248,9,0.036
"Non-response","evidence_legal","social_norm_blame",248,9,0.036
"Non-response","privacy_retaliation","social_norm_blame",248,8,0.032
"Non-response","burden_distrust","social_norm_blame",248,7,0.028
"Non-response","privacy_retaliation","burden_distrust",248,5,0.02
"Non-response","privacy_retaliation","relationship_victim_wish",248,5,0.02
"Non-response","privacy_retaliation","evidence_legal",248,4,0.016
"Non-response","evidence_legal","burden_distrust",248,4,0.016
"Non-response","burden_distrust","relationship_victim_wish",248,3,0.012
"Non-response","evidence_legal","relationship_victim_wish",248,2,0.008
