"class","dyad","intimate","n"
"C1","여성-남성","non-intimate",18
"C1","여성-남성","intimate",26
"C1","남성-여성","non-intimate",1
"C1","남성-여성","intimate",3
"C1","여성-여성","non-intimate",4
"C1","여성-여성","intimate",2
"C1","남성-남성","non-intimate",14
"C1","남성-남성","intimate",3
"C1","미상","non-intimate",2
"C1","미상","intimate",0
"C2","여성-남성","non-intimate",13
"C2","여성-남성","intimate",32
"C2","남성-여성","non-intimate",3
"C2","남성-여성","intimate",10
"C2","여성-여성","non-intimate",11
"C2","여성-여성","intimate",19
"C2","남성-남성","non-intimate",22
"C2","남성-남성","intimate",21
"C2","미상","non-intimate",4
"C2","미상","intimate",11
"C3","여성-남성","non-intimate",6
"C3","여성-남성","intimate",14
"C3","남성-여성","non-intimate",0
"C3","남성-여성","intimate",6
"C3","여성-여성","non-intimate",7
"C3","여성-여성","intimate",23
"C3","남성-남성","non-intimate",13
"C3","남성-남성","intimate",18
"C3","미상","non-intimate",0
"C3","미상","intimate",9
"C4","여성-남성","non-intimate",9
"C4","여성-남성","intimate",33
"C4","남성-여성","non-intimate",2
"C4","남성-여성","intimate",4
"C4","여성-여성","non-intimate",2
"C4","여성-여성","intimate",15
"C4","남성-남성","non-intimate",10
"C4","남성-남성","intimate",31
"C4","미상","non-intimate",2
"C4","미상","intimate",2
"C5","여성-남성","non-intimate",9
"C5","여성-남성","intimate",21
"C5","남성-여성","non-intimate",1
"C5","남성-여성","intimate",6
"C5","여성-여성","non-intimate",4
"C5","여성-여성","intimate",7
"C5","남성-남성","non-intimate",13
"C5","남성-남성","intimate",8
"C5","미상","non-intimate",2
"C5","미상","intimate",5
